country_code,state_code,doctors_office,walk_in_clinic,virtual_care,hospital_or_ER,other,symptom_quarantine,voluntary_quarantine,personally_required_quarantine,general_quarantine,still_in_quarantine,still_symptomatic,fever,cough,difficulty_breathing,fatigue,sore_throat,not_hospitalized,hospitalized,no_care_received,care_received,stayed_in_quarantine,left_quarantine_temporarily,not_quarantined,was_quarantined,not_symptomatic,is_symptomatic,tested_at_dr_office,tested_at_hospital,tested_at_urgent_care,tested_at_ad_hoc,tested_at_other,tested_negative,tested_positive,tested_still_waiting,testing_not_attempted,testing_attempted,testing_attempted_and_denied,not_tested,tested,female,male,age_group_1,age_group_10,age_group_20,age_group_30,age_group_40,age_group_50,age_group_55,age_group_60,age_group_65,age_group_70,age_group_75,age_group_85
IL,HA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,0,2,1,18,4,22,0,0,0,0,0,0,0,0,0,18,0,0,22,0,10,12,0,1,8,3,0,2,4,1,0,0,2,1
IL,JM,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,0,0,17,1,1,1,16,2,14,4,0,0,0,0,0,0,0,0,12,1,0,16,0,12,6,0,1,3,2,4,0,3,2,1,0,0,2
IL,M,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49,0,7,2,40,9,49,0,0,0,0,0,0,0,0,0,36,0,0,49,0,29,19,0,3,5,3,11,11,10,2,1,2,1,0
IL,TA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,1.0,0.0,1.0,0,0,36,0,7,3,23,12,33,4,0,0,1,0,0,1,0,0,32,1,0,36,1,15,22,0,0,7,10,11,4,4,0,1,0,0,0
IL,Z,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,14,0,1,1,12,2,12,2,0,0,0,0,0,0,0,0,9,1,0,14,0,10,3,0,1,1,2,3,1,3,1,0,2,0,0
IN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
IN,HR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
IN,KA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
IN,KL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
IN,MH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
